id;nombre;descripcion;detalle;duracion;genero;clasificacion;estado;fecha_inicio;fecha_fin
1;Concrete;Fresh;contextually-based Wyoming Malaysian Ringgit;84;Corporate;circuit;true;2020-10-08;2020-10-08
2;International 24/7 Cambridgeshire;Small Soft Towels;Cambridgeshire;50;Configuration;Svalbard & Jan Mayen Islands Consultant;true;2020-10-08;2020-10-08
3;Investment Account Soap frame;modular deposit;Rustic Frozen Sausages interface;178;Unbranded Plastic Pants;best-of-breed;true;2020-10-08;2020-10-07
4;Ball CSS;CSS Tactics Brand;Berkshire;300;Branding;auxiliary;false;2020-10-07;2020-10-08
5;open-source cyan;Wooden;viral Rustic;173;protocol Cheese;Unbranded;false;2020-10-08;2020-10-08
6;auxiliary;parse Czech Koruna;Missouri enhance Cambridgeshire;59;District Developer;Belarus;true;2020-10-08;2020-10-08
7;Borders User-friendly;scalable;Forint GB Music;216;Wooden Table withdrawal;National;true;2020-10-08;2020-10-08
8;Officer;Minnesota zero administration;Cotton Alaska Legacy;108;Savings Account;Concrete FTP;true;2020-10-07;2020-10-07
9;Intelligent Cotton Keyboard redundant Skyway;Mobility;Factors backing up Lodge;187;Michigan;transmitting;true;2020-10-08;2020-10-08
10;Steel;reboot;USB time-frame;149;Buckinghamshire Markets;Producer Auto Loan Account;true;2020-10-08;2020-10-08
